model_type,combination,person_id,train_r2,train_rmse,train_mae,test_r2,test_rmse,test_mae,n_train,n_test,n_predictors
linear_regression,healthcare_data_hospitalization_risk,15,1,6.06485866358848e-16,4.57966997657877e-16,0.988341167068884,0.00529364266482706,0.00474246339362585,7,3,6
linear_regression,healthcare_data_hospitalization_risk,16,1,1.10226433402299e-15,8.72318090776909e-16,0.977698900526495,0.0100982916472299,0.00829365287924289,7,3,7
linear_regression,healthcare_data_annual_cost,1,0.994378272853887,43.29190529714,41.3716620981438,0.994232631778239,28.7646190028618,25.8722313315793,7,3,3
linear_regression,healthcare_data_annual_cost,2,0.995658721243613,62.1659923239137,51.4675079951311,-0.974866585362705,480.687743826655,408.029874772653,7,3,4
linear_regression,healthcare_data_annual_cost,3,0.994426289286714,70.6670284016952,53.7638264563378,0.529155994944566,703.144401536756,617.191535778997,7,3,4
linear_regression,healthcare_data_annual_cost,4,0.999563048391045,33.4775840186317,25.8946529025288,0.977472231941815,395.231158778908,378.070133149191,7,3,5
linear_regression,healthcare_data_annual_cost,5,0.999292387645101,39.6613032107859,31.526785685851,0.954280492977578,127.168841246044,114.142586178995,7,3,4
linear_regression,healthcare_data_annual_cost,6,0.997909082875745,92.3743968838517,84.9111745094846,0.891737056874779,713.257343679972,580.817316492753,7,3,5
linear_regression,healthcare_data_annual_cost,7,0.998635620162139,64.4105218622244,56.8475216310056,0.923190721888338,780.665305013556,635.326450458328,7,3,5
linear_regression,healthcare_data_annual_cost,8,1,2.48267542182006e-11,1.87096052936145e-11,-6.69245614297049,2466.29091702753,2163.16718361989,7,3,6
linear_regression,healthcare_data_annual_cost,9,0.99795242540041,69.3428625891274,54.6729152754186,0.993396570102704,87.3879169526405,80.5455890680223,7,3,4
linear_regression,healthcare_data_annual_cost,10,0.998888921776863,61.9006127293741,55.0060475190743,0.937226479059253,701.51961552778,636.978974749029,7,3,5
linear_regression,healthcare_data_annual_cost,11,0.99998520818115,8.45294387227623,5.49464975621959,0.805845430473903,733.928003157649,628.679190411722,7,3,5
linear_regression,healthcare_data_annual_cost,12,1,2.88794899760818e-10,2.20357573458127e-10,0.830592466342269,2130.25280528403,1380.97635800688,7,3,6
linear_regression,healthcare_data_annual_cost,13,1,3.43104992758917e-10,3.06369786682938e-10,0.539109017162639,1755.31556370099,1447.26806903927,7,3,6
linear_regression,healthcare_data_annual_cost,14,1,6.85447728080063e-11,5.24908370737519e-11,0.965577886989779,770.295748915545,684.363503382574,7,3,6
linear_regression,healthcare_data_annual_cost,15,1,5.98926356964333e-11,4.91127138957381e-11,0.691900997913722,1738.80107693935,1455.18787878809,7,3,6
linear_regression,healthcare_data_annual_cost,16,1,8.57712541049084e-11,6.2885062236871e-11,-0.114681215482271,2285.4342371695,2116.21136748798,7,3,7
linear_regression,healthcare_data_mortality_risk,1,0.997744169624915,0.000202693502575692,0.000163648736565781,0.996244057206967,0.000247801314355498,0.000227641750423565,7,3,3
linear_regression,healthcare_data_mortality_risk,2,0.998791174284027,0.000275486016777668,0.000201489380073615,0.917504202482488,0.000939621390471644,0.000921951844960293,7,3,4
linear_regression,healthcare_data_mortality_risk,3,0.996667693093693,0.000584704820579692,0.000453992450081197,0.994378093693645,0.000479047195405032,0.000460982507611065,7,3,4
linear_regression,healthcare_data_mortality_risk,4,0.99961390111837,0.000271486967207568,0.000217468159499802,0.869151296245611,0.00377453277104268,0.00332233806053043,7,3,5
linear_regression,healthcare_data_mortality_risk,5,0.99865855621181,0.000237335302806388,0.000199789005922431,0.950165318263319,0.000577067082528729,0.00044522457072561,7,3,4
linear_regression,healthcare_data_mortality_risk,6,0.999590116256711,0.000274935000031005,0.00024380446327743,0.774476388473099,0.00523048933968302,0.00512829886108355,7,3,5
linear_regression,healthcare_data_mortality_risk,7,0.999800823215882,0.000193316044011982,0.000160040740520704,0.464555277936281,0.00284428810281285,0.00248721985967077,7,3,5
linear_regression,healthcare_data_mortality_risk,8,1,3.19888707112383e-16,2.76564485598588e-16,0.776363885239224,0.00637118063671534,0.00603422541772982,7,3,6
linear_regression,healthcare_data_mortality_risk,9,0.998947092552637,0.000297510600018003,0.000258619928206014,0.991687903011948,0.00100174435979325,0.000944624363499268,7,3,4
linear_regression,healthcare_data_mortality_risk,10,0.999998993891012,1.55903262707919e-05,1.21360752337437e-05,0.939615609322233,0.00126879779928453,0.000925463206564107,7,3,5
linear_regression,healthcare_data_mortality_risk,11,0.999894282974444,0.000111663708480902,0.000106220153834562,0.978769334630627,0.00151261535666843,0.00145081281853433,7,3,5
linear_regression,healthcare_data_mortality_risk,12,1,2.04641246477016e-15,1.90423074134368e-15,0.800205727281079,0.00645498827124376,0.00537952724359152,7,3,6
linear_regression,healthcare_data_mortality_risk,13,1,2.54775818018665e-16,2.38896204405949e-16,0.936351042100734,0.00255432651655763,0.00232088233271438,7,3,6
linear_regression,healthcare_data_mortality_risk,14,1,4.1746380082991e-16,3.69743918022485e-16,0.948976382546999,0.00283106044007083,0.00244806837752254,7,3,6
linear_regression,healthcare_data_mortality_risk,15,1,1.15188027383848e-16,8.82230796353919e-17,0.967870636495019,0.00154886812706525,0.00140885634588571,7,3,6
linear_regression,healthcare_data_mortality_risk,16,1,1.05443375924881e-14,9.57963866962278e-15,-2.62489788967159,0.0394425856864375,0.0391104883645097,7,3,7
