model_type,combination,person_id,train_r2,train_rmse,train_mae,test_r2,test_rmse,test_mae,n_train,n_test,n_predictors
linear_regression,manufacturing_data_unit_cost,7,1,2.1982576092337e-14,1.92861599706313e-14,0.487284873451387,2.92634276534888,1.87728297632465,7,3,12
linear_regression,manufacturing_data_unit_cost,8,1,2.57593617099862e-14,2.23313431238889e-14,0.0528165694214602,5.61278192174275,4.66503422854117,7,3,12
linear_regression,manufacturing_data_unit_cost,9,1,1.78142491486144e-14,1.01506105108586e-14,0.997460327839131,0.830326429576461,0.73254743962796,7,3,12
linear_regression,manufacturing_data_unit_cost,10,1,2.27246757389557e-13,1.82710989195454e-13,-4.97967988046718,20.0699906558469,13.9538789818617,7,3,12
linear_regression,manufacturing_data_unit_cost,11,1,3.64064632946204e-13,2.91322521661641e-13,0.546605870891749,12.1011253947467,10.2739590075496,7,3,12
linear_regression,manufacturing_data_unit_cost,12,1,7.00442140964473e-13,5.35952234973333e-13,-92.1538649145446,40.8446106154184,34.9644175585287,7,3,12
linear_regression,manufacturing_data_unit_cost,13,1,3.22271892806521e-14,2.8421709430404e-14,0.912024921799365,7.43592113659232,7.4104204629818,7,3,12
linear_regression,manufacturing_data_unit_cost,14,1,3.60310929776453e-14,2.63915873282323e-14,0.601223273439972,6.40565007021301,5.42484747642812,7,3,12
linear_regression,manufacturing_data_unit_cost,15,1,2.68559910672101e-14,1.82710989195454e-14,0.980393274882098,1.14923999862612,1.04485940886848,7,3,12
linear_regression,manufacturing_data_unit_cost,16,1,6.96186857221385e-14,4.06024420434343e-14,0.962108927781485,2.83388187000451,2.31715759508255,7,3,12
